20200606_005,[-63.98898  -63.983208 -63.98114  ... -63.89164  -63.8935   -63.892677]
20200606_001,[-69.313866 -69.30939  -69.307144 ... -68.60337  -68.602135 -68.60376 ]
20200607_005,[-58.856293 -58.879627 -58.87918  ... -59.51152  -59.51556  -59.51511 ]
20200607_004,[-54.38152  -54.379112 -54.384735 ... -55.20148  -55.200676 -55.192646]
20200607_002,[-58.729603 -58.727142 -58.732063 ... -59.07662  -59.065296 -59.056435]
20200607_000,[-62.588684 -62.592205 -62.575977 ... -61.852783 -61.84609  -61.841015]
20200525_001,[-64.36287 -64.36656 -64.36435 ... -64.75007 -64.7561  -64.747  ]
20200525_006,[-60.02188  -60.021202 -60.017895 ... -60.314007 -60.313553 -60.322876]
20200524_002,[-71.89344  -71.89044  -71.88748  ... -66.96005  -66.965866 -66.97846 ]
20200312_002,[-56.64131  -56.641026 -56.63883  ... -56.703335 -56.70886  -56.70402 ]
20200227_000,[-49.57149  -49.57172  -49.573128 ... -50.071075 -50.07073  -50.071438]
20200226_002,[-58.0878   -58.08861  -58.08338  ... -58.5303   -58.531906 -58.536736]
20200225_000,[-60.54535  -60.52704  -60.533142 ... -60.902405 -60.91461  -60.910034]
20200115_002,[-53.149387 -53.150253 -53.146175 ... -53.20203  -53.201595 -53.20393 ]
20200113_003,[-51.432102 -51.425728 -51.42629  ... -51.366905 -51.36718  -51.36719 ]
20200113_004,[-39.493313 -39.495472 -39.499733 ... -40.955173 -40.957787 -40.95861 ]
20191218_005,[-50.579002 -50.57784  -50.578888 ... -50.880962 -50.877117 -50.877533]
20191218_009,[-62.817467 -62.81917  -62.820007 ... -62.926857 -62.926556 -62.9277  ]
20200122_001,[-63.135017 -63.13526  -63.13476  ... -63.023136 -63.020073 -63.01854 ]
20200115_004,[-63.555096 -63.560936 -63.559593 ... -63.7584   -63.750774 -63.75795 ]
20200312_000,[-65.078735 -65.0602   -65.052574 ... -64.411705 -64.41498  -64.39536 ]
20200309_000,[-66.436966 -66.43551  -66.431465 ... -66.09423  -66.067856 -66.05936 ]
20200122_002,[-66.61818  -66.61323  -66.61337  ... -63.924732 -63.924583 -63.924004]
20200121_006,[-61.885338 -61.891766 -61.897285 ... -64.70049  -64.70069  -64.7002  ]
20200109_004,[-52.782696 -52.78778  -52.794773 ... -53.34091  -53.337097 -53.331375]
